	Metier	CHOIIX MASTER	GROUPE G	Stage M1 hors Ile de France	Période 1 ou période 2
1	PPH	QSPS	G7	non	P2
2	IDE	QSPS	G2	non	P2
3	IDE	IFS	G7	non	P1
4	IDE	QSPS	G1	oui	P2
5	PPH	QSPS	G3	non	P1
6	TECH LABO	QSPS	G7	non	P2
7	IDE	QSPS	G5	non	P1
8	IDE	QSPS	G9	oui	P1
9	IDE	IFS	G2	oui	P1
10	IDE	QSPS	G2	non	P2
11	IDE	QSPS	G2	non	P1
12	RADIO	QSPS	G1	non	P1
13	IPDE	QSPS	G2	non	P2
14	IDE	QSPS	G8	oui	P2
15	IADE	 IFS	G3	non	P1
16	TECH LABO	QSPS	G6	non	P2
17	TECH LABO	QSPS	G8	non	P2
18	IADE	QSPS	G6	non	P2
19	IDE	QSPS	G2	non	P2
20	IDE	QSPS	G8	non	P2
21	IPDE	IFS	G2	non	P1
22	IDE	QSPS	G1	non	P1
23	IDE	IFS	G3	non	P1
24	IDE	IFS	G4	non	P1
25	RADIO	QSPS	G8	non	P2
26	RADIO	IFS	G9	non	P1
27	IDE	IFS	G1	non	P1
28	IDE	IFS	G3	non	P1
29	IDE	QSPS	G9	non	P2
30	IDE	QSPS	G9	non	P2
31	ORTHOPHONISTE	IFS	G1	non	P1
32	ERGO	QSPS	G4	non	P1
33	IPDE	IFS	G7	non	P1
34	IDE	QSPS	G4	non	P1
35	TECH LABO	IFS	G7	non	P1
36	IDE	QSPS	G8	non	P1
37	PPH	QSPS	G6	non	P1
38	IDE	IFS	G9	non	P1
39	PPH	QSPS	G6	non	P2
40	IDE	QSPS	G3	non	P2
41	IDE	QSPS	G9	non	P2
42	IDE	QSPS	G5	non	P2
43	IDE	QSPS	G6	oui	P2
44	TECH LABO	QSPS	G4	non	P2
45	PPH	IFS	G8	non	P1
46	IDE	QSPS	G9	non	P2
47	IDE	IFS	G6	non	P1
48	IDE	QSPS	G1	non	P2
49	IDE	IFS	G5	non	P1
50	IDE	IFS	G9	non	P1
51	IDE	IFS	G2	non	P1
52	IDE	QSPS	G1	non	P1
53	IDE	IFS	G6	non	P1
54	RADIO	QSPS	G4	non	P1
55	IDE	QSPS	G4	non	P2
56	IPDE	IFS	G1	non	P1
57	IDE	QSPS	G8	non	P2
58	IDE	QSPS	G7	non	P1
59	PPH	IFS	G7	oui	P1
60	TECH LABO	QSPS	G1	non	P2
61	IDE	QSPS	G8	non	P2
62	IDE	QSPS	G1	non	P2
63	PPH	IFS	G5	oui	P1
64	RADIO	QSPS	G3	non	P2
65	TECH LABO	QSPS	G9	non	P1
66	IDE	IFS	G5	non	P1
67	IDE	QSPS	G3	non	P1
68	IADE	IFS	G4	non	P1
69	IPDE	IFS	G3	non	P1
70	IDE	QSPS	G4	non	P1
71	IDE	QSPS	G8	non	P1
72	IDE	IFS	G2	oui	P1
73	ERGO	IFS	G5	non	P1
74	IDE	QSPS	G4	non	P2
75	TECH LABO	IFS	G6	non	P1
76	IBODE	QSPS	G8	non	P2
77	TECH LABO	QSPS	G5	non	P2
78	IDE	QSPS	G2	non	P2
79	IDE	QSPS	G3	oui	P2
80	ORTHOPHONISTE	QSPS	G4	non	P2
81	IDE	QSPS	G5	non	P1
82	PPH	QSPS	G5	non	P2
83	IDE	QSPS	G7	non	P2
84	ORTHOPTISTE	QSPS	G3	non	P2
85	IADE	QSPS	G7	non	P2
86	DIET	QSPS	G7	non	P1
87	IADE	QSPS	G5	non	P1
88	IDE	QSPS	G6	non	P2
89	IDE	QSPS	G3	non	P2
90	IDE	QSPS	G5	non	P2
